"","ID","Age","Experience","Income","ZIPCode","Family","CCAvg","Education","Mortgage","PersonalLoan","SecuritiesAccount","CDAccount","Online","CreditCard"
"49",2899,27,1,140,91711,1,5.9,2,175,1,1,1,1,0
"50",1245,33,8,130,94720,3,6.3,2,99,1,0,0,0,1
"51",835,36,12,150,95138,4,5.4,1,0,1,1,1,1,0
"53",2110,47,23,178,93014,1,6.5,3,0,1,0,0,0,0
"54",1063,47,21,83,92220,1,3.8,1,97,1,0,0,0,0
"55",323,63,39,101,92007,1,3.9,1,0,1,1,1,1,0
"56",1632,61,36,153,91105,1,2.6,2,0,1,1,1,0,1
"57",3944,61,36,188,91360,1,9.3,2,0,1,0,0,0,0
"58",1408,63,39,101,94306,2,3.9,3,294,1,0,0,1,0
"59",1785,54,29,119,91355,3,2,1,0,1,1,1,0,0
"60",465,43,19,83,94305,4,3.6,3,0,1,0,0,0,1
"62",1653,48,18,182,92626,4,6,3,0,1,0,0,1,0
"64",19,46,21,193,91604,2,8.1,3,0,1,0,0,0,0
"66",4423,57,31,164,94607,2,3.8,3,422,1,0,1,1,1
"67",2839,30,6,181,94542,3,4.1,2,0,1,0,1,1,1
"68",4605,32,7,81,90601,2,3.4,2,0,1,0,0,0,1
"69",538,44,20,131,90717,1,4.9,3,0,1,0,0,1,0
"71",3296,42,16,141,94960,3,4,2,0,1,0,0,0,0
"72",2096,47,21,174,94025,4,3.2,3,0,1,0,0,0,0
"73",1642,58,34,152,92182,4,3.6,3,0,1,0,0,0,0
"74",1167,30,5,112,91711,4,5,2,0,1,0,0,0,1
"76",76,31,7,135,94901,4,3.8,2,0,1,0,1,1,1
"77",3891,42,17,139,91101,2,2.9,3,0,1,0,0,1,0
"78",2715,46,20,158,92870,3,5.4,1,432,1,0,0,0,1
"79",976,63,38,83,92122,2,3.4,1,0,1,0,0,0,0
"80",1129,30,5,171,94025,2,1.9,2,0,1,0,0,0,0
"82",4415,33,8,178,94720,3,8.5,1,0,1,1,1,1,0
"85",2875,49,25,114,91380,1,2.5,3,0,1,0,0,1,0
"86",4791,35,11,101,94143,3,3.8,3,150,1,0,0,1,0
"89",2160,61,35,99,94085,1,4.8,3,255,1,0,0,0,1
"90",2231,36,11,183,94704,1,3,3,0,1,0,1,1,1
"92",2534,54,29,111,93023,1,1.1,2,0,1,0,0,1,0
"93",4653,38,12,184,91311,3,8,1,0,1,0,0,1,0
"94",897,50,24,161,95133,3,3.4,1,212,1,0,0,1,0
"95",3001,40,14,164,94720,1,4.3,2,0,1,0,0,0,0
"96",3034,43,19,130,90630,2,4.7,3,221,1,0,0,0,1
"98",1799,44,20,185,94086,3,2.7,1,0,1,0,0,1,0
"99",3161,41,15,158,94304,1,4.7,2,0,1,1,1,0,1
"100",1583,43,19,170,92037,4,4.25,1,318,1,0,1,1,1
"101",1207,63,37,165,95035,4,5.1,3,0,1,0,0,0,0
"102",4706,61,37,141,92677,3,0.7,1,0,1,0,1,1,1
"103",1409,40,14,129,90089,1,5.9,3,0,1,0,0,1,0
"104",2512,51,27,92,92121,4,3,1,0,1,0,1,1,1
"107",4426,26,0,164,95973,2,4,3,301,1,0,0,1,0
"108",1790,44,20,171,91330,4,0.7,1,567,1,0,1,1,1
"109",1403,55,29,172,95064,1,5.2,2,0,1,0,0,0,0
"110",567,53,28,175,95060,3,3.6,3,0,1,0,1,1,1
"111",1590,57,32,124,90049,1,0.2,2,0,1,0,0,1,0
"112",1999,56,32,103,94111,3,4,3,0,1,0,0,0,0
"113",2078,34,9,160,94108,4,8,3,0,1,0,0,0,1
"115",3289,56,30,140,94122,4,0.5,1,292,1,0,0,0,0
"118",1162,36,11,181,94309,3,1.4,1,0,1,0,0,0,0
"119",655,54,29,129,93940,4,4.2,3,0,1,0,0,0,0
"121",248,53,29,120,92626,4,2.7,2,111,1,1,1,1,0
"123",663,65,41,185,93561,3,2,2,0,1,0,0,0,0
"126",3269,43,17,111,91423,4,5.4,3,0,1,0,0,1,0
"127",318,40,16,119,91335,2,4.2,2,0,1,0,0,1,0
"128",672,65,41,105,92612,1,3,2,282,1,1,1,1,0
"129",2722,58,33,173,92121,2,7.2,3,0,1,0,0,1,0
"130",1795,56,32,98,91355,3,3.9,3,0,1,0,0,0,0
"131",1130,30,4,73,94305,3,3.3,1,0,1,0,1,1,1
"133",349,40,15,173,95060,4,6.6,1,0,1,0,1,1,1
"134",1015,50,26,192,90245,2,1.8,3,301,1,0,1,1,1
"136",1825,49,23,194,94022,4,8.3,2,0,1,0,0,0,1
"137",3155,27,1,99,94305,1,3,3,149,1,0,0,0,1
"139",1106,35,10,182,95051,1,0.3,2,229,1,0,1,1,1
"140",2813,53,28,183,96008,3,8.2,3,467,1,0,1,1,1
"141",1374,60,35,135,92612,3,0.3,3,0,1,0,0,1,0
"142",1412,65,39,184,91302,1,5.4,3,176,1,0,1,1,1
"144",2048,63,38,134,90640,3,4,2,0,1,0,0,0,1
"145",4309,44,20,132,94115,3,2.6,1,308,1,0,0,0,0
"146",3662,29,4,120,94553,1,4.1,2,0,1,1,1,0,1
"147",2429,39,12,108,92717,4,3.67,2,301,1,0,0,0,1
"149",4471,44,20,111,91911,2,5.3,2,0,1,0,0,1,0
"150",3384,46,22,135,95135,3,4.1,1,213,1,0,0,1,0
"151",4594,54,30,133,95747,1,5,2,0,1,0,0,0,1
"153",2268,38,13,168,92647,2,1.3,3,0,1,0,0,0,0
"154",474,64,39,182,93955,1,1.2,2,547,1,0,0,1,0
"155",3340,27,1,141,95135,4,5.1,3,354,1,0,0,0,0
"157",571,49,25,161,94928,3,6.5,2,485,1,1,1,0,0
"158",3844,32,7,129,94720,4,5.2,2,0,1,0,0,0,1
"159",39,42,18,141,94114,3,5,3,0,1,1,1,1,0
"160",2879,45,19,122,94590,4,4.1,2,0,1,0,0,1,0
"161",2374,33,9,184,94304,2,4.8,2,0,1,0,0,0,0
"163",1883,56,32,125,91330,3,0.6,1,342,1,0,1,1,1
"164",161,29,0,134,95819,4,6.5,3,0,1,0,0,0,0
"165",3606,61,31,130,92333,2,2.6,3,0,1,0,0,0,0
"166",4169,60,34,139,95020,4,0.4,1,0,1,0,0,1,0
"167",1496,52,28,178,92647,3,5.4,3,147,1,0,0,1,0
"169",4259,52,26,155,92660,3,7.2,2,0,1,0,0,1,0
"170",2773,55,31,130,92646,4,6.5,1,0,1,0,0,0,1
"171",2216,28,3,193,94501,3,4,2,0,1,0,0,1,0
"172",1605,55,29,111,90502,2,3.6,3,0,1,0,0,0,1
"173",1769,43,18,128,92093,4,5.3,1,84,1,0,0,0,0
"174",1578,34,8,65,92093,1,3,1,227,1,0,0,1,0
"176",43,32,7,132,90019,4,1.1,2,412,1,0,0,1,0
"177",3748,26,0,83,91360,3,3.9,2,0,1,0,0,1,0
"179",3987,38,14,182,92152,3,2.6,3,0,1,0,1,1,1
"180",4311,65,41,170,94143,4,6.1,2,0,1,0,1,1,1
"182",1205,26,1,190,91604,4,1.3,2,197,1,0,0,1,0
"183",892,32,6,120,94102,4,5.4,1,301,1,0,1,1,1
"185",4626,45,21,102,92037,4,4.7,2,81,1,0,0,0,0
"187",3473,54,27,120,92672,4,3,2,431,1,0,0,1,0
"188",4170,41,17,143,90059,2,2.7,3,209,1,0,0,1,0
"189",3327,53,27,174,91006,1,2.9,2,0,1,0,0,1,0
"190",300,41,15,159,90057,1,5.5,3,0,1,0,1,1,0
"191",3468,63,37,149,90840,2,0.2,3,364,1,0,0,1,0
"192",3705,36,11,184,91304,2,5.1,2,0,1,0,0,0,0
"193",2591,46,20,152,95814,1,7.4,3,374,1,0,1,1,1
"194",2503,58,31,178,92009,2,6,2,0,1,0,0,1,0
"196",806,55,29,132,95758,3,5.9,2,307,1,0,0,0,0
"197",4355,40,16,140,93940,3,5.6,1,0,1,0,0,0,0
"198",2338,43,16,201,95054,1,10,2,0,1,0,0,0,1
"199",1519,43,17,64,95053,4,3,3,221,1,0,0,1,0
"200",2969,44,18,162,90840,4,1.3,1,301,1,0,0,0,0
"201",4495,29,4,182,95354,1,3.7,3,0,1,0,0,1,0
"203",48,37,12,194,91380,4,0.2,3,211,1,1,1,1,1
"204",4155,51,25,163,94305,2,1.3,3,0,1,0,0,1,0
"205",4082,60,35,155,92521,1,1.5,3,0,1,0,0,0,1
"206",188,46,21,159,94305,3,1.9,3,315,1,0,0,1,0
"207",463,29,4,183,91423,3,8.3,3,0,1,0,0,1,0
"208",2179,37,13,158,93943,2,2.3,2,0,1,0,1,1,1
"209",1823,48,23,112,93014,1,5.1,2,86,1,1,1,1,0
"211",771,26,2,172,94551,2,6.9,2,0,1,0,0,1,0
"212",2540,32,7,98,95929,1,4.2,1,171,1,1,1,0,0
"213",1177,29,3,103,90049,4,3.4,1,0,1,0,0,1,0
"214",2316,52,26,182,95818,2,1.4,2,0,1,0,0,1,0
"215",3946,29,3,123,92821,3,5.6,3,428,1,0,0,1,0
"217",4176,42,17,154,93955,3,4.9,1,0,1,0,1,1,1
"218",814,50,25,130,94720,1,1.1,2,0,1,0,0,1,0
"219",4094,49,24,138,93111,2,2.2,2,0,1,0,0,1,0
"220",3859,42,18,158,92124,2,0.4,2,277,1,0,0,0,1
"221",506,36,12,69,94305,3,3.1,2,0,1,0,0,1,0
"222",3574,60,36,165,90095,3,5.6,1,0,1,0,0,0,1
"223",4017,53,28,173,91614,4,2.7,1,427,1,0,0,1,0
"224",1604,36,6,138,92152,1,7,3,86,1,0,0,1,0
"225",3328,42,18,164,93407,1,1.3,3,0,1,1,1,1,1
"226",2263,55,29,131,95070,2,0.7,2,0,1,0,0,0,1
"227",2615,35,11,160,92093,4,5.7,3,0,1,1,0,0,0
"228",3563,32,8,169,94596,1,6.5,3,272,1,1,1,1,0
"229",3319,46,20,105,90089,4,3.2,1,0,1,0,0,0,0
"232",4843,49,23,174,95449,3,4.6,2,590,1,0,0,0,0
"233",200,36,11,158,92152,1,5.1,3,0,1,0,1,1,1
"234",1008,44,19,99,95064,3,3.5,3,357,1,0,0,0,0
"236",483,56,32,173,94022,1,4.6,2,88,1,0,1,1,0
"237",1826,56,32,161,94720,1,5.8,3,0,1,1,0,0,0
"238",1025,58,33,122,93711,4,0.2,2,0,1,0,1,1,0
"239",928,65,40,95,95014,3,3.7,2,138,1,0,0,0,1
"240",4358,39,14,141,93302,4,6.3,1,0,1,1,1,1,1
"241",1203,35,11,24,95521,4,0.4,2,0,0,0,0,0,0
"243",4262,53,28,18,92507,4,0.8,1,0,0,0,0,0,0
"244",2325,41,11,35,93107,1,0.75,3,114,0,0,0,1,0
"245",2730,58,34,63,90007,4,1.5,1,0,0,0,0,1,0
"246",979,52,26,68,92068,1,0.8,3,0,0,0,0,1,1
"247",1058,30,0,63,95503,2,1.75,3,0,0,0,0,1,0
"248",419,27,0,33,90089,4,1,3,0,0,0,0,0,0
"249",511,51,26,62,95136,1,1.3,2,221,0,0,0,1,0
"250",4639,37,13,89,91711,2,1.7,2,0,0,0,0,1,0
"251",1922,45,21,63,95621,1,0.8,3,245,0,0,0,1,1
"252",4118,39,14,18,92037,4,0.2,3,0,0,1,0,0,0
"253",3648,41,14,32,91605,3,1,2,0,0,0,0,0,1
"254",4761,50,25,18,95819,2,0,1,0,0,0,0,0,1
"255",4509,27,2,85,94117,1,1.9,1,0,0,0,0,1,1
"256",1801,57,33,45,94080,3,1.5,1,181,0,1,1,1,1
"258",2204,50,25,130,91320,1,0.6,1,311,0,0,0,0,0
"259",3562,30,6,31,94720,3,1,2,142,0,0,0,0,0
"260",2239,48,22,35,92709,1,1.4,3,0,0,0,0,1,0
"262",487,55,30,84,92173,2,3.7,1,304,0,1,0,1,0
"263",2541,49,23,41,95521,4,0.1,1,153,0,0,0,1,0
"264",1202,35,8,38,95060,4,1,2,0,0,0,0,1,0
"265",2938,62,36,89,94022,2,2,1,0,0,0,0,1,1
"268",2756,37,11,22,93711,3,0.1,2,0,0,0,0,1,1
"269",3547,65,40,34,94720,1,1.1,3,119,0,0,0,1,1
"270",2026,47,20,79,94720,3,2,2,185,0,1,0,0,0
"271",3459,48,23,191,95053,2,2.8,1,231,0,0,0,0,1
"272",2314,58,32,54,94035,3,0.3,2,0,0,0,0,1,1
"273",498,48,22,94,90623,4,2.6,3,0,0,0,0,1,0
"274",3092,58,32,42,95020,3,1.4,3,158,0,0,0,0,1
"275",1770,60,36,62,94061,4,2.2,1,0,0,0,0,0,0
"276",3688,34,10,45,93943,1,1.33,1,0,0,0,0,0,0
"277",3679,49,25,30,92093,4,0.6,1,0,0,0,0,0,0
"278",186,39,14,115,91320,1,1,3,0,0,0,0,1,0
"279",374,49,25,20,90291,4,1,1,111,0,0,0,1,1
"280",3642,59,35,74,94402,4,2.3,3,0,0,0,0,0,0
"281",861,57,31,30,95841,2,0.7,2,145,0,0,0,0,0
"283",3180,43,17,53,90245,2,0.7,1,130,0,1,0,1,0
"284",4829,52,28,62,90089,1,1.8,3,0,0,0,0,1,0
"285",4132,48,23,23,94534,4,0.4,2,122,0,0,0,0,0
"286",2874,48,23,35,93943,1,0.1,1,0,0,1,0,1,0
"287",3657,35,8,30,95014,4,1,2,0,0,1,0,0,0
"290",1231,27,1,25,94920,4,0.3,2,0,0,0,0,1,1
"292",468,45,20,39,90232,1,2.4,1,0,0,0,0,0,1
"294",3637,37,11,64,96094,3,0.9,2,0,0,0,0,1,0
"295",907,29,3,154,94720,2,2,1,130,0,0,0,0,0
"296",1521,54,30,120,95039,1,7.4,1,119,0,0,0,1,1
"297",375,30,5,98,91941,2,3.1,1,220,0,0,0,1,0
"298",697,51,27,63,92251,2,1,3,82,0,0,0,1,0
"300",2291,38,13,78,91942,4,0.7,3,0,0,0,0,1,0
"301",3524,29,4,150,91302,1,0.8,1,0,0,0,0,0,1
"302",2259,59,33,93,91320,2,0.7,2,0,0,0,0,0,0
"303",4865,41,16,52,91311,2,2.2,3,0,0,0,0,1,0
"305",4846,45,21,128,94305,1,4.7,1,0,0,0,0,0,0
"306",2233,59,33,140,95035,2,0.5,1,262,0,0,0,1,0
"307",3124,44,17,22,94546,3,1,2,126,0,0,0,1,1
"308",1772,46,21,9,95023,2,0.7,3,0,0,0,0,1,0
"309",1278,45,20,194,92110,2,8.8,1,428,0,0,0,0,0
"310",1221,41,17,165,94143,2,8,1,0,0,0,0,1,0
"311",1470,59,35,59,90005,4,1.2,2,0,0,0,0,1,0
"312",3864,34,10,21,91770,4,0.7,2,0,0,0,0,1,0
"314",2038,35,8,52,95616,2,1,2,0,0,0,0,0,1
"315",4569,26,0,44,94305,4,1.3,3,0,0,1,0,0,0
"316",3761,56,26,70,91107,3,1.4,3,273,0,0,0,1,1
"317",1665,61,35,63,91605,1,1.6,1,0,0,0,0,1,0
"318",1366,60,35,43,94720,3,0.9,3,0,0,0,0,1,1
"319",989,63,39,32,94998,1,1.9,2,100,0,0,0,0,0
"320",1568,63,39,92,94710,2,0,3,0,0,0,0,1,0
"321",2377,58,33,23,91768,3,0.2,1,0,0,0,0,0,0
"323",1258,63,37,41,93014,1,0.5,3,0,0,0,0,0,1
"325",4910,41,16,25,95014,2,0.1,2,0,0,0,0,0,1
"327",877,40,14,58,94025,2,2.8,1,0,0,0,0,1,0
"328",2617,56,31,49,92182,2,1.6,3,103,0,0,0,1,0
"330",3211,43,19,60,94301,2,2.5,1,0,0,1,0,0,0
"331",1916,37,11,69,91911,3,2.1,1,0,0,1,0,0,0
"332",3178,30,4,83,91007,2,1.5,3,199,0,0,0,0,1
"333",879,33,3,74,95616,4,4,3,0,0,0,0,0,0
"334",4600,49,25,149,90024,2,0.4,1,0,0,0,0,1,0
"335",3594,60,34,44,90018,2,0.3,1,192,0,0,0,1,0
"336",3966,39,15,94,91941,2,1.9,1,0,0,0,0,1,0
"337",3772,31,7,109,91711,2,2,2,341,0,0,0,0,1
"338",649,50,25,34,95621,1,1.3,2,0,0,0,0,1,0
"339",1054,58,32,51,95819,1,2.8,2,0,0,0,0,1,0
"340",2704,51,27,71,92521,1,2.6,2,0,0,0,0,0,1
"341",414,32,7,42,92407,3,2.3,1,0,0,0,0,1,0
"342",141,51,25,31,90245,2,0.4,3,161,0,0,0,1,1
"343",4582,37,13,59,94234,1,1.5,3,0,0,0,0,0,1
"344",791,55,30,58,92028,4,0.9,1,0,0,0,0,1,1
"346",1549,57,32,21,92037,4,0.9,2,113,0,1,0,0,0
"347",2328,51,25,70,90095,1,0.8,3,0,0,1,0,1,0
"349",1832,47,22,30,94118,4,0.4,2,115,0,0,0,1,1
"351",4655,44,17,69,90095,3,2.67,2,0,0,0,0,0,0
"352",4315,35,9,79,94305,4,2.2,2,0,0,0,0,0,0
"353",4335,55,29,92,92130,1,1.9,2,0,0,0,0,0,0
"354",2760,59,33,64,95617,3,0.3,2,0,0,0,0,0,0
"356",2308,56,31,60,92009,3,1.7,1,0,0,0,0,1,0
"357",1214,27,2,78,93943,4,0.2,1,87,0,0,0,0,0
"360",797,30,6,82,93657,2,2.5,1,0,0,0,0,0,0
"361",921,27,1,42,94501,3,2.4,2,0,0,0,0,0,0
"362",1480,28,4,43,91304,1,1,3,102,0,0,0,0,0
"363",2507,66,42,39,94590,1,1.9,2,0,0,0,0,1,1
"365",380,25,0,28,92093,2,1.7,2,0,0,0,0,0,0
"366",3159,54,28,64,90095,2,0.8,3,0,0,1,0,1,0
"367",2787,36,10,83,94705,1,2.8,3,0,0,0,0,0,1
"368",3672,50,25,18,93106,1,0.4,3,0,0,0,0,1,0
"370",3875,36,12,92,94709,2,0,1,184,0,0,0,0,0
"371",3569,30,4,194,93407,2,4.5,1,0,0,0,0,0,1
"373",2877,24,-2,80,91107,2,1.6,3,238,0,0,0,0,0
"374",1874,28,4,69,94538,3,0.7,2,80,0,0,0,1,0
"375",1599,40,15,85,94550,2,0.4,1,0,0,1,0,0,0
"378",4123,56,30,195,90089,1,2.9,1,0,0,0,0,0,0
"379",391,45,19,45,92521,1,0.2,1,0,0,0,0,1,0
"381",876,61,36,21,95616,4,0.4,2,123,0,0,0,0,0
"383",3401,48,22,39,94065,1,1.2,2,0,0,0,0,0,0
"384",1843,53,29,93,95051,1,2.7,2,256,0,0,0,1,0
"385",2729,39,13,58,94555,3,2.1,1,247,0,0,0,1,0
"389",3860,50,24,62,90245,1,1.4,3,0,0,0,0,0,0
"390",768,64,39,38,92024,1,1.1,3,108,0,0,0,0,0
"391",2610,42,18,120,93407,2,7.5,1,0,0,1,0,0,0
"394",458,29,3,69,94303,3,0.3,3,0,0,0,0,0,0
"395",3276,32,8,65,95134,1,1.2,1,268,0,0,0,1,0
"396",3,39,15,11,94720,1,1,1,0,0,0,0,0,0
"398",2295,39,15,129,90035,2,1.9,1,0,0,0,0,0,0
"400",3386,42,17,73,90089,4,0.4,1,0,0,1,0,0,0
"401",3955,32,7,134,93108,2,3.1,1,0,0,0,0,0,0
"402",485,25,1,113,95023,2,0.2,1,0,0,0,0,1,1
"403",4151,46,20,72,92009,2,1.7,2,75,0,0,0,1,0
"404",2083,32,7,55,91301,4,2,2,0,0,0,0,1,0
"406",4718,29,5,121,95449,1,1.5,1,0,0,0,0,1,0
"408",1411,60,35,44,92126,4,2.1,1,0,0,0,0,0,0
"410",1898,54,29,98,93065,1,0.1,3,0,0,0,0,0,0
"411",670,56,29,41,94109,4,2.5,2,0,0,0,0,0,0
"412",4299,43,19,122,93106,1,0.3,1,0,0,0,0,1,0
"414",3339,35,9,43,92037,4,1.2,2,0,0,1,0,1,0
"415",3335,40,14,30,94720,2,0.8,3,86,0,0,0,0,0
"416",2788,60,34,152,92807,2,6.9,1,0,0,0,0,0,0
"418",1003,46,20,85,95617,2,0.4,3,0,0,0,0,0,0
"419",1958,29,4,121,90028,2,3.3,1,0,0,0,0,1,0
"420",4967,41,17,34,91361,1,0.7,1,143,0,0,0,0,0
"421",3002,33,7,81,92647,3,1.6,1,0,0,0,0,1,1
"422",3896,36,12,59,94104,3,2,1,216,0,0,0,0,0
"423",1187,62,38,43,94928,4,1.2,2,0,0,0,0,1,0
"424",566,55,29,79,90210,3,0.8,1,0,0,0,0,1,0
"425",3497,37,13,49,91711,4,2,3,192,0,0,0,0,0
"426",4013,30,6,124,91320,2,0.6,1,0,0,0,0,1,0
"427",2181,58,33,42,91380,2,1.6,3,0,0,0,0,1,0
"428",4516,29,3,49,94305,4,2.1,3,0,0,0,0,0,0
"430",4827,56,31,81,93943,2,0,3,225,0,0,0,0,0
"431",4269,49,23,108,95616,2,2.4,2,0,0,0,0,1,0
"435",1721,52,28,8,95060,1,0.3,1,0,0,0,0,1,0
"437",417,40,15,85,94304,2,0.4,1,0,0,0,0,1,0
"439",2829,35,10,64,94306,3,0.7,2,230,0,0,0,1,0
"440",3640,51,26,191,94063,1,8.1,1,0,0,1,0,1,0
"441",4140,29,3,81,95827,1,2.9,3,0,0,0,0,0,0
"442",1821,47,22,25,90404,1,0.1,1,148,0,0,0,1,0
"443",2131,55,31,74,94607,3,2.67,1,0,0,0,0,0,1
"444",52,61,37,131,94720,1,2.9,1,0,0,0,0,1,0
"445",386,35,9,40,93943,3,0.9,1,0,0,0,0,1,0
"446",2433,54,30,45,92182,4,0.9,2,0,0,0,0,0,1
"447",1863,42,17,82,95616,1,3.7,3,0,0,0,0,1,0
"448",1740,33,7,83,95211,1,2.5,1,0,0,1,1,1,1
"449",3393,32,7,58,92612,1,1,1,0,0,0,0,1,0
"451",492,42,18,34,92115,4,0.3,1,104,0,1,0,1,0
"452",377,45,21,61,94304,3,0.7,1,0,0,0,0,0,0
"453",4501,50,26,24,94305,4,0.5,2,0,0,0,0,0,1
"454",2275,40,15,21,90034,2,0,3,0,0,0,0,1,0
"457",2370,50,24,45,94005,4,0.1,1,93,0,0,0,1,0
"458",4111,66,41,59,95617,3,2.4,1,0,0,0,0,0,0
"459",4892,56,31,61,90024,4,0.9,1,0,0,1,1,1,1
"460",106,24,0,35,94704,3,0.1,2,0,0,1,0,1,0
"461",497,50,24,83,94301,2,0.4,3,0,0,0,0,1,0
"462",1451,59,34,80,90086,3,0.5,1,0,0,0,0,1,1
"463",2341,33,9,44,94112,1,1.2,1,0,0,0,0,0,0
"465",1685,60,34,83,94028,2,2,1,249,0,0,0,0,0
"466",705,56,32,129,94065,1,7.4,1,0,0,0,0,0,0
"467",2213,46,22,83,95060,1,2.7,1,0,0,0,0,1,0
"468",1006,38,12,138,95112,2,0,1,0,0,1,0,1,0
"469",3895,32,6,44,92886,1,0.3,1,81,0,0,0,1,1
"470",1905,38,14,91,95060,2,0,1,0,0,0,0,1,0
"471",1756,28,3,55,92647,4,1.7,2,0,0,0,0,1,1
"473",3167,29,4,80,90028,1,0.8,2,0,0,0,0,1,1
"474",1145,49,24,91,95822,1,2.8,2,0,0,0,0,0,0
"475",940,56,32,8,93943,2,0.3,1,0,0,0,0,1,1
"477",145,49,23,70,92093,2,1.5,2,0,0,0,0,0,0
"478",3771,40,16,75,94306,3,2.33,1,79,0,0,0,0,0
"479",3741,59,35,174,92660,1,4.7,1,0,0,0,0,1,1
"480",1081,47,22,24,90717,4,0.4,2,142,0,0,0,1,0
"481",2437,53,29,39,92626,3,1.5,1,0,0,0,0,1,0
"482",1303,42,16,38,94087,3,0.9,3,0,0,0,0,0,0
"483",299,43,19,81,92069,2,3.2,1,0,0,0,0,0,0
"484",4882,57,32,24,92346,2,0.2,3,140,0,0,0,1,0
"486",3470,26,2,79,95630,2,2.5,1,0,0,0,0,1,0
"487",234,62,37,58,91320,4,1.7,1,0,0,0,0,1,0
"488",3377,46,21,170,95136,2,2.8,1,0,0,0,0,0,0
"489",1722,54,29,59,92867,2,2.3,3,152,0,0,0,1,0
"490",1805,40,16,64,92661,4,2.67,1,0,0,1,0,1,0
"492",3655,53,28,61,94061,4,0.9,1,177,0,0,0,0,0
"493",4729,59,35,31,90630,3,0.4,2,0,0,0,0,1,0
"494",1925,62,38,78,92009,1,1.8,3,0,0,0,0,0,0
"495",3774,62,36,83,93940,4,2.4,3,0,0,1,0,0,0
"496",4462,46,21,30,94301,4,1.9,3,0,0,0,0,1,0
"497",2825,62,36,44,92867,2,0.3,1,0,0,0,0,0,0
"498",3212,35,9,83,90277,2,4.5,3,0,0,0,0,1,0
"499",2650,33,8,68,92407,4,1.3,1,0,0,0,0,1,0
"501",1160,50,26,23,92028,4,0.2,1,0,0,0,0,0,1
"503",4808,40,14,53,90064,1,2,1,0,0,0,0,1,1
"504",1208,38,12,43,94301,4,1.2,2,0,0,0,0,0,1
"505",1551,40,14,39,93117,1,2,1,0,0,0,0,1,0
"506",351,39,14,113,94301,1,1,3,0,0,1,0,1,0
"507",3114,31,5,50,91330,4,2.1,3,209,0,0,0,1,0
"512",1544,52,26,101,93407,2,2.4,2,0,0,0,0,1,0
"513",4386,56,32,23,94610,1,1.2,3,127,0,0,0,1,1
"514",3229,27,2,45,94305,2,1.7,2,0,0,0,0,0,1
"515",4285,38,13,173,94305,2,3.3,1,243,0,0,0,0,0
"516",3889,45,18,81,95133,3,2.67,2,251,0,0,0,1,1
"517",2163,39,13,74,95008,3,0.9,2,155,0,0,0,1,0
"519",1153,63,37,21,95831,2,0.4,1,0,0,0,0,1,0
